epoch,step,train_abs_rel_step,train_berhu_loss_step,train_delta1_step,train_delta2_step,train_delta3_step,train_eas_loss_step,train_log_mae_step,train_log_rmse_step,train_mae_step,train_mse_loss_step,train_rmse_step,train_sasinv_loss_step,train_silog_loss_step,train_total_loss_step
0,0,10.768017768859863,0.21974627673625946,0.27176445722579956,0.519892692565918,0.6779659390449524,0.01501281838864088,0.28121671080589294,0.39411434531211853,0.1762816160917282,0.04719928652048111,0.2135331779718399,0.04713588207960129,0.9436572790145874,1.17841637134552
0,1,1.9050498008728027,0.2129121720790863,0.24275195598602295,0.4662787914276123,0.649706244468689,0.021142762154340744,0.2680121660232544,0.35208919644355774,0.1694169044494629,0.04979398101568222,0.2192351371049881,0.04443155974149704,0.8349483609199524,1.0690033435821533
0,2,2.0673367977142334,0.26644957065582275,0.21488898992538452,0.42390453815460205,0.60981285572052,0.02479097805917263,0.30165520310401917,0.39710402488708496,0.20385199785232544,0.06531812995672226,0.24218015372753143,0.05352842062711716,0.9643990993499756,1.255639672279358
0,3,1.148038625717163,0.2420853078365326,0.265203058719635,0.5059230327606201,0.6617418527603149,0.014904479496181011,0.2684977948665619,0.3499490022659302,0.19850631058216095,0.059340354055166245,0.23888282477855682,0.05481152981519699,0.8390939235687256,1.096083641052246
0,4,1.9244083166122437,0.2169833779335022,0.27015337347984314,0.5113844871520996,0.6865517497062683,0.022218801081180573,0.2700752913951874,0.3714960813522339,0.17839647829532623,0.04970650374889374,0.21754300594329834,0.04318956285715103,0.8615013360977173,1.100703477859497
0,5,2.8088743686676025,0.22590893507003784,0.30321329832077026,0.556576669216156,0.7044913172721863,0.020847726613283157,0.2746896743774414,0.41133543848991394,0.17600713670253754,0.048825062811374664,0.21914876997470856,0.04677543789148331,0.9449478387832642,1.191704511642456
0,6,1.8380295038223267,0.24115018546581268,0.24515527486801147,0.48940643668174744,0.6711845993995667,0.017526468262076378,0.2625361382961273,0.3457818031311035,0.18994124233722687,0.05365484207868576,0.22874324023723602,0.0533076748251915,0.8345298767089844,1.093206524848938
0,7,1.862035870552063,0.23321358859539032,0.25608325004577637,0.5103825330734253,0.6882250905036926,0.019143272191286087,0.2663854956626892,0.3676470220088959,0.1912422925233841,0.05714087933301926,0.23567552864551544,0.05647166818380356,0.8648250102996826,1.1171818971633911
0,8,3.598796844482422,0.2536771297454834,0.23332567512989044,0.4895106852054596,0.6597187519073486,0.016915971413254738,0.27278411388397217,0.37492290139198303,0.20690937340259552,0.06477043032646179,0.2509423494338989,0.05984324961900711,0.908644437789917,1.1792376041412354
0,9,2.3890233039855957,0.20777063071727753,0.2572365999221802,0.49379849433898926,0.6717110276222229,0.014191409572958946,0.2868780791759491,0.4064309597015381,0.1684577465057373,0.04299445450305939,0.20545072853565216,0.04249678552150726,0.9290910363197327,1.1510530710220337
0,10,1.8940461874008179,0.23836445808410645,0.23448283970355988,0.45719337463378906,0.6930126547813416,0.016006547957658768,0.264425665140152,0.355378121137619,0.1931910663843155,0.057299163192510605,0.23282527923583984,0.05318177863955498,0.849430501461029,1.1038014888763428
0,11,13.1626615524292,0.24038633704185486,0.2099425196647644,0.4216741621494293,0.5779316425323486,0.016135187819600105,0.34543749690055847,0.46900585293769836,0.19286738336086273,0.054249487817287445,0.2268010973930359,0.05388597771525383,1.153489589691162,1.4100110530853271
0,12,1.5466036796569824,0.253945916891098,0.23732227087020874,0.4591655731201172,0.6572619676589966,0.01401557493954897,0.2796536982059479,0.35932663083076477,0.1930357962846756,0.05643511936068535,0.23323111236095428,0.053830645978450775,0.8790187239646912,1.1469802856445312
0,13,2.731483221054077,0.21300427615642548,0.2596297264099121,0.4992460012435913,0.6868264079093933,0.01356435939669609,0.2850368916988373,0.3871637284755707,0.17182497680187225,0.04576873779296875,0.20964591205120087,0.045160599052906036,0.9627475738525391,1.1893162727355957
0,14,2.118194103240967,0.22810284793376923,0.24835330247879028,0.501593291759491,0.7045204639434814,0.01407625526189804,0.2551191747188568,0.3462638556957245,0.18140487372875214,0.051866304129362106,0.22183530032634735,0.048632364720106125,0.8473408818244934,1.08951997756958
0,15,1.5002347230911255,0.24788939952850342,0.2226036936044693,0.4775208532810211,0.7113895416259766,0.013326592743396759,0.2624509334564209,0.33771035075187683,0.19514574110507965,0.05776244401931763,0.23647435009479523,0.048763953149318695,0.8498185873031616,1.111034631729126
0,16,1.5380061864852905,0.25318753719329834,0.23590447008609772,0.4949798285961151,0.705359697341919,0.014572866261005402,0.2472452074289322,0.325041800737381,0.19166414439678192,0.057807501405477524,0.2336411476135254,0.046121805906295776,0.7646461129188538,1.0324065685272217
0,17,1.459241509437561,0.25626277923583984,0.2184087187051773,0.47012028098106384,0.6432148218154907,0.013789184391498566,0.28264120221138,0.36854493618011475,0.20645715296268463,0.06323086470365524,0.24717195332050323,0.05502859503030777,0.8876764178276062,1.1577284336090088
0,18,2.242372751235962,0.23875483870506287,0.26173165440559387,0.5179382562637329,0.6800856590270996,0.013748231343925,0.2779988646507263,0.38003551959991455,0.18798445165157318,0.054843977093696594,0.22738854587078094,0.05230052396655083,0.9421669840812683,1.1946700811386108
0,19,3.0581893920898438,0.22684644162654877,0.2778782248497009,0.5227639079093933,0.681408166885376,0.014198068529367447,0.25328782200813293,0.34073904156684875,0.18004204332828522,0.05119384825229645,0.2181316465139389,0.04951506853103638,0.8100153803825378,1.0510598421096802
0,20,1.401799201965332,0.23413601517677307,0.2972317636013031,0.5207484364509583,0.687708854675293,0.014892758801579475,0.2514013648033142,0.342558890581131,0.18468017876148224,0.05269532650709152,0.2233056277036667,0.05211795121431351,0.8139493465423584,1.0629781484603882
0,21,5.095064640045166,0.22247378528118134,0.30627524852752686,0.5873019099235535,0.7445563673973083,0.014429490081965923,0.25153425335884094,0.36267992854118347,0.17043542861938477,0.044643472880125046,0.20748370885849,0.043563298881053925,0.9352319240570068,1.1721352338790894
0,22,5.028456211090088,0.24681681394577026,0.23116017878055573,0.4566732943058014,0.6298174262046814,0.014115778729319572,0.3189919888973236,0.43709397315979004,0.1922895312309265,0.05332869291305542,0.22723758220672607,0.04175032675266266,1.0437873601913452,1.3047199249267578
